ipcc just released the srocc  a new report on oceans and ice it reminds us of these powerful words from kathy and aka one year ago rewatch the stunning 6minute film at   	75.0	40.0	1.0	350
the ipcc special report on ocean and ice is out and well be honest it looks bleak but we know what must be done the age of fossil fuels must endread here to find out what this science means to people on the frontlines   srocc	112.0	83.0	5.0	350
unusually warm water surrounding one of the largest glaciers in greenland isnt good newsa billion tons of ice lost here raises sea levels in australia in southeast asia in the united states in europe we are all connected by the same ocean  	93.0	62.0	1.0	350
this is one of the hottest summers on record the heat adds to the cruelty ice inflictsthe same institutions funding migrant incarceration also fund the fossil fuel companies causing the climate crisis climate justice is migrant justice abolishice 	26.0	17.0	0.0	350
antarctic ice has taken a nosedivethe amount of ice lost in antarctica in the past 3 years is equivalent to the amount of ice the arctic has lost over 34 years 	115.0	106.0	6.0	350
definitely strange western mexico has been covered with hills of white hailstones piled up on the streets swallowing cars and blanketing the city in a jarring layer of ice  says local resident and then we ask ourselves if climate change exists 	33.0	28.0	1.0	350
the gateway protecting the arctics oldest sea ice has collapsed months ahead of schedule  	36.0	50.0	0.0	350
call and email umbbank ceo marinerkemper and demand that he stop supporting ice and the wyatt prison in rhode island 3038392251 marinerkemperumbcom shutdownice umbheart	25.0	12.0	0.0	350
if you thought the heat waveinduced melting of half of greenlands surface last week was alarming wait until you hear the longterm projections for its ice sheet   	51.0	60.0	3.0	350
over 40 of greenland experienced melting thursday with total ice loss estimated to be more than 2 gigatons equal to 2 billion tons on just that day alone   	45.0	55.0	3.0	350
climate change is breaking up the sea ice where these emperor penguins incubate their eggs on   	51.0	36.0	6.0	350
greenlands ice sheet is melting six times faster than it was in the 1980s and all that meltwater is directly raising sea levels   	111.0	135.0	5.0	350
glaciers and arctic ice are vanishing time to get radical before its too late  by billmckibben   climatestrike greennewdeal fossilfree keepitintheground	64.0	47.0	3.0	350
earths glaciers lost nine trillion metric tons of ice between 1961 and 2016 and may disappear completely in some areas by 2100 if current warming continues   	18.0	30.0	0.0	350
this is going to cause additional sealevel rise we are watching the ice sheet hit a tipping point   	26.0	22.0	1.0	350
greenlands ice melting faster than scientists previously thought  studythe pace of ice loss has increased fourfold since 2003  	26.0	36.0	1.0	350
the himalayahindu kush mountain ranges and the tibetan plateau are the planets largest reservoir of ice and snow after the arctic and antarctic  and its severely at risk from climate change   	40.0	31.0	1.0	350
not a good sign the worlds biggest shipping group had a cargo vessel successfully pass through the russian arctic on a oneoff trial journey as a result of melting sea ice   	39.0	106.0	1.0	350
the oldest and most robust sea ice in the arctic has reportedly begun breaking up for the first time in recorded history   	34.0	33.0	1.0	350
the oldest and most robust sea ice in the arctic has reportedly begun breaking up for the first time in recorded history   	192.0	261.0	12.0	350
hundreds of people are protesting ice at the san diego border todaycheck out conmijentes platform to abolishice  freeourfuture  	19.0	12.0	0.0	350
from dc to sf we stand with the familiesbelongtogethermarch no ice no pipelines or jailsthe whole damn system is guilty as hell  	43.0	22.0	1.0	350
no predatory free trade agreementsno military interventionno fossil fuel economyno deportationsno prisons no pipelines no iceabolishice familiesbelongtogethermarch	120.0	55.0	1.0	350
right now undocumented folks indigenous leaders  hundreds more people from many different backgrounds  movements are blocking the street at ice hq in washington dc with cosechamovementclimate justice means immigration justice we stand with you nobannowallnoraids 	56.0	45.0	2.0	350
climate justice isnt only about emissions its ultimately about people we need systems and policies that support freedom of movement and allow people of color migrants and refugees to thriveice and the muslim ban are the opposite of that  	25.0	13.0	0.0	350
new research shows antarctic ice loss has tripled in a decade and is accelerating sea level rise hodabaraka this is extremely concerning news and confirms what we already know about the impacts of burning fossil fuels its time to riseforclimate   	18.0	18.0	1.0	350
brad pitts comedy central sketch on climate change is no joke the north the ice caps are melting and i am so so so so scared   	59.0	53.0	0.0	350
oil and gas truck drivers in siberia are noticing that the ice roads they drive on are melting earlier and earlier   	25.0	28.0	0.0	350
